id,location,price,area,date_posted,fridge,washer,air_condition,wifi
1,"Cẩm Lệ, Đà Nẵng",6900000,50,9/16/2025,1,1,1,1
2,"Hải Châu, Đà Nẵng",5000000,35,8/16/2025,1,1,1,1
3,"Hải Châu, Đà Nẵng",2500000,23,7/16/2025,0,0,0,1
4,"Hải Châu, Đà Nẵng",1000000,20,7/16/2025,0,0,0,0
5,"Sơn Trà, Đà Nẵng",3000000,5,7/16/2025,1,1,1,1
6,"Hải Châu, Đà Nẵng",1900000,20,6/16/2025,0,0,0,0
7,"Ngũ Hành Sơn, Đà Nẵng",1500000,16,6/16/2025,0,0,0,0
8,"Cẩm Lệ, Đà Nẵng",2500000,18,5/16/2025,1,1,1,1
9,"Hải Châu, Đà Nẵng",1900000,20,3/16/2025,0,0,0,0
10,"Hải Châu, Đà Nẵng",1900000,20,3/16/2025,0,0,0,0
11,"Ngũ Hành Sơn, Đà Nẵng",2500000,20,3/16/2025,0,0,0,0
12,"Ngũ Hành Sơn, Đà Nẵng",4700000,32,12/16/2024,1,1,1,1
13,"Sơn Trà, Đà Nẵng",3000000,30,10/16/2024,0,1,1,0
14,"Liên Chiểu, Đà Nẵng",2500000,40,10/16/2024,0,0,0,0
15,"Thanh Khê, Đà Nẵng",1000000,12,10/16/2024,0,0,0,0
16,"Hải Châu, Đà Nẵng",2300000,20,10/16/2024,0,0,0,0
17,"Hải Châu, Đà Nẵng",1500000,12,10/16/2024,0,0,0,0
18,"Thanh Khê, Đà Nẵng",1500000,12,10/16/2024,0,0,0,0
19,"Thanh Khê, Đà Nẵng",2200000,20,10/16/2024,0,0,0,0
20,"Liên Chiểu, Đà Nẵng",2900000,355,10/16/2024,0,0,0,0
21,"Ngũ Hành Sơn, Đà Nẵng",3000000,32,10/16/2024,0,0,0,0
22,"Thanh Khê, Đà Nẵng",2000000,25,10/16/2024,0,0,1,1
23,"Hải Châu, Đà Nẵng",2500000,35,10/16/2024,0,0,0,1
24,"Liên Chiểu, Đà Nẵng",2900000,35,10/16/2024,0,0,0,0
25,"Sơn Trà, Đà Nẵng",2800000,25,10/16/2024,1,1,1,1
26,"Ngũ Hành Sơn, Đà Nẵng",3000000,25,10/16/2023,0,0,0,0
27,"Liên Chiểu, Đà Nẵng",2000000,35,10/16/2023,0,0,0,0
28,"Thanh Khê, Đà Nẵng",2000000,25,10/16/2023,0,0,1,1
29,"Thanh Khê, Đà Nẵng",1400000,15,10/16/2023,0,0,0,0
30,"Liên Chiểu, Đà Nẵng",1000000,16,10/16/2023,0,0,0,0
32,"Sơn Trà, Đà Nẵng",3700000,20,10/16/2023,1,1,1,1
33,"Liên Chiểu, Đà Nẵng",1800000,35,10/16/2023,0,0,0,0
34,"Thanh Khê, Đà Nẵng",1500000,20,10/16/2023,0,0,0,0
35,"Sơn Trà, Đà Nẵng",2300000,25,10/16/2023,0,0,1,0
36,"Sơn Trà, Đà Nẵng",4000000,65,10/16/2023,0,0,0,0
37,"Liên Chiểu, Đà Nẵng",1800000,35,10/16/2023,0,0,0,0
38,"Ngũ Hành Sơn, Đà Nẵng",2500000,35,10/16/2023,0,0,0,0
39,"Hải Châu, Đà Nẵng",2000000,35,10/16/2023,0,0,0,0
40,"Thanh Khê, Đà Nẵng",1700000,20,10/16/2023,0,0,0,0
41,"Hải Châu, Đà Nẵng",2200000,18,10/16/2023,0,0,0,0
42,"Liên Chiểu, Đà Nẵng",2500000,40,10/16/2023,0,0,0,0
43,"Ngũ Hành Sơn, Đà Nẵng",3000000,100,10/16/2023,0,0,0,0
44,"Liên Chiểu, Đà Nẵng",1200000,25,10/16/2023,0,0,0,0
45,"Hải Châu, Đà Nẵng",2500000,30,10/16/2023,0,0,0,0
46,"Hải Châu, Đà Nẵng",3000000,30,10/16/2023,0,0,0,0
47,"Hải Châu, Đà Nẵng",1700000,13,10/16/2023,0,0,0,0
48,"Ngũ Hành Sơn, Đà Nẵng",1500000,20,10/16/2023,0,0,0,0
49,"Cẩm Lệ, Đà Nẵng",3500000,25,10/16/2022,1,1,1,1
50,"Ngũ Hành Sơn, Đà Nẵng",2000000,12,10/16/2022,0,0,0,1
55,"Hải Châu, Đà Nẵng",6000000,41,10/16/2022,1,1,1,1
68,"Liên Chiểu, Đà Nẵng",1700000,30,10/16/2022,0,0,0,0
69,"Hải Châu, Đà Nẵng",3500000,30,10/16/2022,1,1,0,0
70,"Cẩm Lệ, Đà Nẵng",2000000,15,10/16/2022,0,1,0,0
71,"Liên Chiểu, Đà Nẵng",1800000,25,10/16/2022,0,1,0,0
72,"Cẩm Lệ, Đà Nẵng",3000000,40,10/16/2022,1,1,1,1
73,"Cẩm Lệ, Đà Nẵng",3000000,40,10/16/2022,0,1,0,0
74,"Thanh Khê, Đà Nẵng",2200000,35,10/16/2022,0,0,0,0
75,"Cẩm Lệ, Đà Nẵng",1200000,20,10/16/2022,0,0,0,0
76,"Ngũ Hành Sơn, Đà Nẵng",1000000,15,10/16/2022,0,0,0,1
77,"Liên Chiểu, Đà Nẵng",1400000,20,10/16/2022,0,0,0,0
78,"Ngũ Hành Sơn, Đà Nẵng",3000000,25,10/16/2022,1,1,1,1
79,"Thanh Khê, Đà Nẵng",1500000,15,10/16/2022,1,1,1,1
80,"Cẩm Lệ, Đà Nẵng",1600000,20,10/16/2022,0,0,0,0
81,"Hải Châu, Đà Nẵng",1500000,20,10/16/2022,0,0,0,1
82,"Ngũ Hành Sơn, Đà Nẵng",2500000,30,10/16/2022,0,0,0,0
83,"Cẩm Lệ, Đà Nẵng",2000000,20,10/16/2022,0,0,0,0
84,"Cẩm Lệ, Đà Nẵng",1600000,16,10/16/2022,1,1,1,1
85,"Ngũ Hành Sơn, Đà Nẵng",3000000,30,10/16/2022,1,1,1,1
86,"Hải Châu, Đà Nẵng",1800000,18,10/16/2022,0,0,0,0
87,"Hải Châu, Đà Nẵng",2300000,20,10/16/2022,0,0,0,0
88,"Thanh Khê, Đà Nẵng",1000000,16,10/16/2022,0,0,0,0
89,"Hải Châu, Đà Nẵng",3000000,30,10/16/2022,0,1,0,0
90,"Thanh Khê, Đà Nẵng",1200000,16,10/16/2022,0,0,0,0
91,"Ngũ Hành Sơn, Đà Nẵng",2500000,30,10/16/2022,1,1,1,1
92,"Hải Châu, Đà Nẵng",2500000,25,10/16/2022,1,1,1,1
93,"Thanh Khê, Đà Nẵng",1400000,15,10/16/2022,0,0,0,0
94,"Sơn Trà, Đà Nẵng",3700000,40,10/16/2021,1,1,1,1
95,"Cẩm Lệ, Đà Nẵng",2200000,20,10/16/2021,0,1,1,1
96,"Liên Chiểu, Đà Nẵng",1900000,35,10/16/2021,0,0,0,0
97,"Sơn Trà, Đà Nẵng",4000000,24,10/16/2021,1,1,1,1
98,"Sơn Trà, Đà Nẵng",1800000,20,10/16/2021,0,0,0,0
99,"Ngũ Hành Sơn, Đà Nẵng",3200000,24,10/16/2021,1,1,1,1
100,"Cẩm Lệ, Đà Nẵng",4000000,35,10/16/2021,1,1,1,1
101,"Hải Châu, Đà Nẵng",2500000,25,10/16/2021,1,1,1,1
102,"Hải Châu, Đà Nẵng",1500000,25,10/16/2021,1,1,1,1
103,"Hải Châu, Đà Nẵng",1500000,18,10/16/2021,0,0,0,0
105,"Sơn Trà, Đà Nẵng",5000000,45,10/16/2021,1,1,1,1
106,"Cẩm Lệ, Đà Nẵng",2000000,17,10/16/2021,0,0,0,1
107,"Liên Chiểu, Đà Nẵng",1500000,20,10/16/2021,0,0,0,0
108,"Hải Châu, Đà Nẵng",1500000,20,10/16/2021,0,0,0,0
109,"Hải Châu, Đà Nẵng",1200000,19,10/16/2021,0,0,0,0
110,"Cẩm Lệ, Đà Nẵng",2200000,22,10/16/2021,0,0,0,1
111,"Ngũ Hành Sơn, Đà Nẵng",2300000,23,10/16/2021,1,1,1,1
112,"Cẩm Lệ, Đà Nẵng",2000000,20,10/16/2021,0,0,0,0
113,"Hải Châu, Đà Nẵng",1400000,24,10/16/2021,1,1,1,1
114,"Ngũ Hành Sơn, Đà Nẵng",1500000,15,10/16/2021,1,1,1,1
115,"Sơn Trà, Đà Nẵng",2000000,20,10/16/2021,1,1,1,1
116,"Hải Châu, Đà Nẵng",1800000,18,10/16/2021,1,0,0,0
117,"Hải Châu, Đà Nẵng",1600000,25,10/16/2021,0,0,0,0
118,"Hải Châu, Đà Nẵng",4000000,27,10/16/2021,0,0,0,0
119,"Ngũ Hành Sơn, Đà Nẵng",2000000,25,10/16/2021,0,0,0,0
120,"Ngũ Hành Sơn, Đà Nẵng",1600000,17,10/16/2021,1,1,1,1
121,"Cẩm Lệ, Đà Nẵng",1500000,23,10/16/2021,0,0,0,0
